datetime,eastward_wind mean,eastward_wind var,eastward_wind max,eastward_wind min,relative_humidity mean,relative_humidity var,relative_humidity max,relative_humidity min,northward_wind mean,northward_wind var,northward_wind max,northward_wind min,air_temperature mean,air_temperature var,air_temperature max,air_temperature min,surface_downwelling_longwave_flux_in_air mean,surface_downwelling_longwave_flux_in_air var,surface_downwelling_longwave_flux_in_air max,surface_downwelling_longwave_flux_in_air min,precipitation_flux mean,precipitation_flux var,precipitation_flux max,precipitation_flux min,air_pressure mean,air_pressure var,air_pressure max,air_pressure min,surface_downwelling_shortwave_flux_in_air mean,surface_downwelling_shortwave_flux_in_air var,surface_downwelling_shortwave_flux_in_air max,surface_downwelling_shortwave_flux_in_air min
2020-09-24,2.0627814548951324,0.07401849354699777,2.5724596944120197,1.5212005616890059,0.9558525242344026,7.17781911036059e-05,0.9680489893312808,0.9374554090146665,-0.4960989153403188,0.21357219762515278,0.25920265240387785,-1.3393530286848545,285.5760555759553,0.0886358302942054,286.19773847791885,285.04244278801815,341.43577091668243,90.68833268441534,359.75,324.7567621866862,0.00025859344192813563,8.087518825166626e-09,0.0004461805605226093,9.780092739764555e-05,96590.54029632897,2489.7473335400773,96685.58745659723,96483.16172960069,105.34543010752685,1433.643700186855,148.12499999999997,46.12499999999999
2020-09-25,2.2771147622173573,0.16627729530723467,3.011766728375935,1.6890983040341074,0.9568075912742205,5.961893745818843e-05,0.9701757425732084,0.940063025156657,-0.49712517348078067,0.20087404467668912,0.44388447494970423,-1.3217184361484315,284.616589092952,0.12027395082469527,285.21587022852015,284.07094111972384,339.0175173769715,96.51548790220109,353.7083333333333,328.8298645019531,0.0002493839638570286,1.6499130737703165e-08,0.0005335648293480461,0.0001128472240043827,96465.74046013945,2320.547132607094,96564.86519820603,96369.25368923611,40.225806451612904,214.00795229307064,60.75,17.125
2020-09-26,0.36886507099004895,0.10825073474853875,0.9726790477418237,-0.2998346770182252,0.9455625946291031,0.00039133840737045424,0.9768460051218669,0.9125495582156712,0.6393195121055869,0.10669704104482865,1.28883912284962,-0.04730760189704597,284.03676507601176,0.2170155698280708,284.90052863227,283.2557345920139,330.0334908270067,158.95792829891266,352.5396779378255,308.8333333333333,8.544404760273102e-05,1.6894315260145667e-09,0.00017283951150782315,2.9128086092065517e-05,96996.55718665995,1310.9851781652626,97076.37445746527,96915.34917534723,93.61424731182797,2020.9473878289548,140.54166666666663,34.875
2020-09-27,-0.6256902828275587,0.058582969849441474,-0.09424295390231742,-1.0170666363297236,0.8313983359388125,0.00015833330832261893,0.8523383055792914,0.8103489451938205,0.18704742602115218,0.05948723664795436,0.6363228072101871,-0.28333827780766624,285.5106792737079,0.13263775561797156,286.2582429673937,284.93416790432406,307.95543342508296,95.5764295990461,326.9583333333333,294.0069287618001,1.3312674416818856e-05,1.2340101819473464e-10,3.395061732994185e-05,4.822530979175626e-06,97844.69566952286,1135.7781519024918,97907.46495225694,97769.16276041667,184.1545698924731,79.27946191755642,193.2916666666666,173.95833333333337
2020-09-28,-0.8012022620363671,0.009047772998057754,-0.598268426126904,-0.9773990734376841,0.5957437445527763,0.0002817361504354483,0.6322723200586107,0.5654369823137919,-1.546482990425761,0.010088109646626533,-1.3480675195654233,-1.7438134824236233,289.2651368089902,0.01820948885273247,289.5165153503418,288.9749512566461,305.8088637321226,2.4150029514554903,309.49424235026044,303.010306040446,0.0,0.0,0.0,0.0,97781.62505250337,971.4715852422077,97842.48708767361,97717.81022135417,202.01881720430106,0.19833674048078273,202.625,201.45833333333334
2020-09-29,-0.05982718436718389,0.006345316709274456,0.09598831691417016,-0.2239562633136908,0.46188039113116525,0.00015665174403749487,0.48750758965810137,0.4393881132867601,-2.1172216529707595,0.007696277049145475,-1.936635265230305,-2.2817679260753922,292.4138626262706,0.016965975565974754,292.6908381144206,292.1325677659777,309.42806621264384,2.1985733414591135,312.2916666666667,306.4041493733724,0.0,0.0,0.0,0.0,97064.68014952958,969.6732842600331,97122.37337239583,96996.87315538195,202.12096774193552,0.139749022263911,202.54166666666666,201.6666666666667
2020-09-30,-0.18952440718152577,0.006800635501772159,-0.017959488374698494,-0.34439818747341633,0.48010652536986975,0.0002737439858755039,0.5111332360903422,0.4484043044514126,-1.004516551591536,0.00881095997845144,-0.8287275214679539,-1.182958733704355,292.8080182311356,0.019752244654711634,293.0569782680936,292.5486952887641,315.55600787747295,2.767831961116784,318.8333333333333,312.15802510579425,0.0,0.0,0.0,0.0,97194.77557963709,973.6514716801142,97254.34049479167,97127.72037760417,197.92338709677418,0.2967054197287906,198.70833333333337,197.29166666666663
2020-10-01,-0.6214785162730002,0.015953581877882834,-0.37783798797883916,-0.8715070014198621,0.4941282315664394,0.0005005806270503864,0.5358586917983161,0.4530409076478746,-0.5490506262716325,0.010690541719773072,-0.3554035307703695,-0.7675934462911553,291.84034582158574,0.03132556441410791,292.1400153266059,291.5099210103353,315.5225435072376,4.669304939153052,319.5155792236328,311.38375091552734,0.0,0.0,0.0,0.0,97397.3214360719,858.0817848670346,97449.34505208333,97336.3251953125,189.15860215053763,32.821811958154576,195.91666666666666,183.16666666666663
2020-10-02,-0.3197258791025047,0.012464703822833977,-0.09669982978246279,-0.527919395826757,0.5356890345388843,0.0004407883152756624,0.5799777279959785,0.4976504389444987,-0.4918648575054562,0.0059426035542602005,-0.3424474021368143,-0.6641399434043301,291.8486835192609,0.023752669554007743,292.1485280354818,291.5174796210395,314.07525236888597,3.2823693995815533,318.43919881184894,311.00733184814453,0.0,0.0,0.0,0.0,97187.6724735383,959.9844314417011,97245.88411458333,97124.66276041667,191.2540322580645,2.2869473387305685,192.79166666666663,189.25
2020-10-03,-0.40382198237260725,0.017730650485322092,-0.13296703725225395,-0.6548741557635367,0.5728108747800191,0.0009337614829083557,0.636659115685357,0.5146996638509962,-0.03974821442557919,0.013011390787966105,0.20404903880423972,-0.26180734982093173,289.89887410645844,0.06069985343147468,290.3217564053006,289.363188680013,298.6778674792218,7.63143519501157,304.9558359781901,293.6185582478841,0.0,0.0,0.0,0.0,97094.9568842406,1011.681613890828,97161.11165364583,97027.06228298611,193.3709677419355,2.294334062623847,194.79166666666663,191.375
2020-10-04,-1.0087271335119161,0.02072837586073897,-0.7229642926508354,-1.280433427128527,0.7161208526037073,0.0013149147774583036,0.7919132932027181,0.6442840554979112,0.6049026867173868,0.019909317554687403,0.8829119376734726,0.28508543750892085,286.9960839548419,0.12369152421844842,287.6478752983941,286.38097110324435,299.5679779873099,15.24527737824525,309.05510203043616,293.3353602091471,0.0,0.0,0.0,0.0,97047.61419480847,969.3348284254906,97113.88509114583,96982.97819010417,172.7284946236559,94.54406679186165,184.41666666666663,157.41666666666666
2020-10-05,-1.3250467378285624,0.012724898069322947,-1.1068290269209278,-1.5420354596442645,0.7985816638700424,0.00045292922006154687,0.8357316048940023,0.7533114830652873,0.4998909141981012,0.01640701969152648,0.8045169303400649,0.2711518084009488,286.21866829984936,0.141521970942654,286.99471477932406,285.4484047783746,303.61270990679344,43.97111544635373,319.76573435465497,295.2631200154622,0.0,0.0,0.0,0.0,97374.68625042004,958.3237748177122,97450.23838975694,97317.02256944444,175.2459677419355,29.258914147176743,181.70833333333337,170.08333333333337
2020-10-06,-1.2562506363917423,0.007019765773799117,-1.078230323890845,-1.426120176911354,0.6633347919935821,0.0005339435382644357,0.7064470757378473,0.618023617002699,0.5302740463108245,0.005248553838290507,0.6704639964219595,0.38242474260429543,289.24478392242105,0.02681408310347996,289.5605144924588,288.92239871554904,314.0782159784789,2.547310499082521,317.54075113932294,310.35704549153644,0.0,0.0,0.0,0.0,97080.69458795362,868.4953576000362,97146.58355034723,97022.03428819444,177.4986559139784,1.0156162716863932,178.54166666666654,175.74999999999991
